Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
Bv4ZwO73AvE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Hawk Dances on Treeline,Public,Processed,2022-11-11T15:47:30+00:00,2022-11-11T15:47:48+00:00
ipgFCizEugw,830000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Jaws, Jung, Kali Ma, Blood Sacrifice, & The Exquisite Stillness",Public,Processed,2022-11-11T18:54:14+00:00,2022-11-11T19:07:58+00:00
S9WYBEVt63M,42000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Ah Haddda Leetle Sowng,Public,Processed,2022-11-12T02:49:44+00:00,2022-11-12T02:50:02+00:00
GCCO_agXBIM,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Gratefulness Update,Public,Processed,2022-11-12T04:04:10+00:00,2022-11-12T04:05:07+00:00
8eSk1AEQ-XM,260000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Gauging the Land: Michael O & Axel Wayra,Public,Processed,2022-11-12T10:43:18+00:00,2022-11-12T10:45:09+00:00
acoNl0UqsF8,521000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Cibola National Forest: Water Canyon, Langmuir Lab",Public,Processed,2022-11-14T07:29:29+00:00,2022-11-14T08:27:21+00:00
XjWyLZ3nrT4,61000,Education,"I would very much appreciate your financial support today as I labor toward my deepest Expression of Worth. 

I have the message. I have the music. I have the will. I have the strength. 

I thank you for your support as I step out into the world to share these gifts.

We have a lot of content coming up. 

I was at the Homolovi State Park for the last two days. I felt a great sense of communion as I leaned into the respect that I have discovered for those of us who populated the Americas originally. 

Tomorrow I am headed to Montezuma’s Castle, then on to the Grand Canyon.

Please check out the depth and evolution of my content on YouTube. I am confident of the value of my work.

I see the light in you!
We have the power to change one another’s future as we acknowledge the Divine Presence in one another.

CashApp - TravelinTravMusic
PayPal - Travis Erwin
travisrwn1@gmail.com",UCUQkPM6zQzIs0B6HiSlXbwg,,Support TravelinTravMusic!,Public,Processed,2022-11-16T04:36:10+00:00,2022-11-16T04:37:24+00:00
giX3isHYSqY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Support $TravelinTravMusic at CashApp,Public,Processed,2022-11-16T14:30:18+00:00,2022-11-16T14:30:49+00:00
0MMaJAXjBcU,324000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,L&tEoW:  J&J Automotive Diagnostics,Public,Processed,2022-11-21T10:51:47+00:00,2022-11-21T10:54:40+00:00
QTHfRfEmyd4,251000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,To Be Lived Through,Public,Processed,2022-11-23T11:52:08+00:00,2022-11-23T11:56:38+00:00
5dGsFT0OgyY,1900000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Road to Sedona: Down From the Trees,Public,Processed,2022-11-24T00:33:10+00:00,2022-11-24T09:45:31+00:00
lTcZ1o84S1Y,766000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,If You Have Love For One Another | John 13:35,Public,Processed,2022-11-24T15:04:28+00:00,2025-01-31T23:11:31+00:00
cey_7O_DBLk,268000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Lineage of Liberation: Born into Sin,Public,Processed,2022-11-25T14:47:56+00:00,2022-11-25T14:55:35+00:00
cpbUy-s2c8I,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Thanksgiving with Ethyn’s Family! Thank You!,Public,Processed,2022-11-25T17:24:35+00:00,2022-11-25T17:26:43+00:00
UDOQix7uSGA,1002000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Every Open Door: God’s Jealousy,Public,Processed,2022-11-26T04:06:34+00:00,2022-11-26T04:14:41+00:00
8Ym3XlbRZZI,263000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,L&tEoW Genesis Story: God’s Jealousy,Public,Processed,2022-11-26T08:11:53+00:00,2022-11-26T08:19:16+00:00
EQ2Fa4kzDqg,198000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Eckhart Tolle, Pain Body, Leading that body to the burial ground",Public,Processed,2022-11-26T16:06:29+00:00,2022-11-26T16:08:22+00:00
19vtutdPmjk,128000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Brother Can You Spare a Dime,Public,Processed,2022-11-26T16:21:16+00:00,2022-11-26T16:22:27+00:00
nSEp-aO8a-c,151000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Love Risin’ From the People,Public,Processed,2022-11-26T19:59:38+00:00,2022-11-26T20:01:29+00:00
6Myxv3rP9lE,247000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Montezuma’s Castle & A Deeper Love,Public,Processed,2022-11-27T16:25:16+00:00,2022-11-27T16:28:16+00:00
k5-R9FzwPMU,174000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,No One Is Left Behind,Public,Processed,2022-11-27T17:43:16+00:00,2022-11-27T17:45:40+00:00
UUadhGyh_nM,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Dr Dre & Attachment,Public,Processed,2022-11-27T18:33:05+00:00,2022-11-27T18:33:26+00:00
k38RhcLpSso,286000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Encouragement for Wounded Healers,Public,Processed,2022-11-27T23:46:20+00:00,2022-11-27T23:52:25+00:00
h-CUg_tEr1E,446000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Love Never Fails | Transform Suffering | God Bless the Child | Billy Holiday,Public,Processed,2022-11-28T13:02:24+00:00,2022-11-28T13:08:24+00:00
fuEEZ0VItN0,331000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Alien Dancer,Public,Processed,2022-11-29T18:26:31+00:00,2022-11-29T18:30:02+00:00
kCBicmYYWwg,30000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,DDAT Delbert Anderson Live Tonight ENMU CUB,Public,Processed,2022-12-01T00:34:06+00:00,2022-12-01T00:34:20+00:00
w4AVJZotH2c,99000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Great Little House Studios: Yoli and John,Public,Processed,2022-12-01T00:34:47+00:00,2022-12-01T00:35:33+00:00
Zu0Ppk2SOZc,481000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,DDAT,Public,Processed,2022-12-01T19:58:16+00:00,2022-12-02T12:10:06+00:00
0GgbkbKSXrI,12000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Music with friends, old and new",Public,Processed,2022-12-05T13:45:18+00:00,2022-12-05T13:45:44+00:00
8UiR90Upnp0,90000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Speak to the earth and she will teach you,Public,Processed,2022-12-06T04:53:39+00:00,2022-12-06T04:57:17+00:00
